Name,Category,Rating,Rating Count,Price,Platform
Pooking - Billiards City,Games,4.4,2334042,0.0,Android
NBA LIVE Mobile Basketball,Games,4.2,2324760,0.0,Android
"Deezer Music Player: Songs, Playlists & Podcasts",Music & Audio,4.4,2316390,0.0,Android
Microsoft Teams,Business,4.2,2315646,0.0,Android
iMobile by ICICI Bank,Finance,4.4,2315272,0.0,Android
Clash of Kings : Newly Presented Knight System,Games,4.1,2313119,0.0,Android
Google Text-to-Speech,Tools,4.3,2292232,0.0,Android
Cut the Rope 2,Games,4.6,2288343,0.0,Android
Google Street View,Travel & Local,4.2,2274422,0.0,Android
Weather & Snow Tracker: The Weather Channel,Weather,4.6,2272325,0.0,Android
Summoners War,Games,4.3,2267021,0.0,Android
Eternium,Games,4.8,2263170,0.0,Android
Amazon Prime Video,Entertainment,4.3,2254674,0.0,Android
Happy Color™ – Color by Number,Games,4.6,2247113,0.0,Android
New Star Soccer,Games,4.6,2236268,0.0,Android
Word Cookies!®,Games,4.6,2235358,0.0,Android
The Tribez: Build a Village,Games,4.4,2215147,0.0,Android
Мой МТС,Tools,4.5,2204519,0.0,Android
"Safe Security Lite - Booster, Cleaner, AppLock",Tools,4.6,2195043,0.0,Android
Critical Ops: Online Multiplayer FPS Shooting Game,Games,4.2,2192648,0.0,Android
"iHeartRadio: Radio, Podcasts & Music On Demand",Music & Audio,4.6,2190361,0.0,Android
Talking Tom Cat,Games,4.0,2165585,0.0,Android
Red Ball 4,Games,4.4,2155247,0.0,Android
Yono Lite SBI - Mobile Banking,Finance,4.5,2129506,0.0,Android
Palco MP3,Music & Audio,4.2,2118317,0.0,Android
LINE Rangers - a tower defense RPG w/Brown & Cony!,Games,4.4,2115077,0.0,Android
"Авито: авто, квартиры, услуги, работа, резюме",Shopping,4.7,2110255,0.0,Android
Where's My Water? 2,Games,4.2,2105954,0.0,Android
Google Opinion Rewards,Tools,4.3,2096980,0.0,Android
World War Heroes: WW2 FPS,Games,4.5,2090546,0.0,Android
كلمات كراش - لعبة تسلية وتحدي من زيتونة,Games,4.7,2089673,0.0,Android
Uber Driver,Business,3.8,2088218,0.0,Android
Kiloblocks Lite,Games,3.9,2079954,0.0,Android
Six-Guns: Gang Showdown,Games,4.1,2072808,0.0,Android
"Юла: товары со скидками, купить и продать",Shopping,4.7,2061545,0.0,Android
ShareChat - Made in India,Social,4.3,2060044,0.0,Android
CAIXA,Finance,4.6,2053536,0.0,Android
Yu-Gi-Oh! Duel Links,Games,4.4,2043876,0.0,Android
"Dropbox: Cloud Storage to Backup, Sync, File Share",Productivity,4.2,2041464,0.0,Android
Musixmatch - Lyrics for your music,Music & Audio,4.4,2037098,0.0,Android
Best Fiends - Free Puzzle Game,Games,4.7,2031128,0.0,Android
Beach Buggy Racing,Games,4.4,2022804,0.0,Android
Vlogger Go Viral - Tuber Game,Games,4.5,2022739,0.0,Android
Sweet Selfie - Beauty Cam & Photo Editor & Collage,Photography,4.6,2020610,0.0,Android
Dubsmash - Create & Watch Videos,Video Players & Editors,4.2,2013219,0.0,Android
Swiggy Food Order | Online Grocery | Delivery App,Food & Drink,4.1,2001827,0.0,Android
Empires & Puzzles: Epic Match 3,Games,4.2,1993306,0.0,Android
Talking Angela,Entertainment,3.3,1989199,0.0,Android
Vi™ App,Productivity,3.5,1979448,0.0,Android
PewDiePie's Tuber Simulator,Games,4.7,1978272,0.0,Android
Amazon Music: Stream and Discover Songs & Podcasts,Music & Audio,4.4,1976986,0.0,Android
My Home - Design Dreams,Games,4.3,1976316,0.0,Android
Magic Tiles 3,Games,4.1,1966034,0.0,Android
Harry Potter: Hogwarts Mystery,Games,4.2,1962773,0.0,Android
Microsoft OneDrive,Productivity,4.5,1962639,0.0,Android
YouCam Perfect - Best Selfie Camera & Photo Editor,Photography,4.5,1961480,0.0,Android
FRONTLINE COMMANDO: D-DAY,Games,3.9,1950242,0.0,Android
Golf Clash,Games,4.3,1947703,0.0,Android
Parchisi STAR Online,Games,4.3,1914661,0.0,Android
DEAD TARGET: Zombie Offline - Shooting Games,Games,4.4,1910670,0.0,Android
Block Craft 3D: Building Simulator Games For Free,Games,4.2,1909012,0.0,Android
Snapdeal Online Shopping App - Shop Online India,Shopping,4.2,1908577,0.0,Android
Online Soccer Manager (OSM) - 20/21,Games,4.5,1903171,0.0,Android
YouTube Music - Stream Songs & Music Videos,Music & Audio,3.2,1898710,0.0,Android
Photomath,Education,4.7,1898099,0.0,Android
Ice Age Village,Games,4.5,1893807,0.0,Android
Cooking Madness - A Chef's Restaurant Games,Games,4.6,1890621,0.0,Android
Pixel Art: Color by Number,Games,4.5,1885525,0.0,Android
"LinkedIn: Jobs, Business News & Social Networking",Business,4.5,1879438,0.0,Android
Cover Fire: Offline Shooting Games,Games,4.5,1875383,0.0,Android
Angry Birds Transformers,Games,4.6,1873492,0.0,Android
"❤️Emoji keyboard - Cute Emoticons, GIF, Stickers",Tools,4.5,1870427,0.0,Android
Talking Ginger,Entertainment,3.9,1864014,0.0,Android
Bukalapak - Jual Beli Online,Shopping,4.7,1860363,0.0,Android
Reddit,Social,4.5,1857501,0.0,Android
GuitarTuna - Tuner for Guitar Ukulele Bass & more!,Tools,4.7,1856714,0.0,Android
Mario Kart Tour,Games,4.1,1854462,0.0,Android
Gods of Boom - Online PvP Action,Games,4.0,1852042,0.0,Android
"TuneIn Radio: Live News, Sports & Music Stations",Music & Audio,4.5,1850922,0.0,Android
Tiles Hop: EDM Rush!,Games,4.3,1844332,0.0,Android
Fast Racing 3D,Games,4.4,1842601,0.0,Android
Photo Editor Picsa: Photo Collage Maker & Stickers,Photography,4.4,1835249,0.0,Android
Asphalt 9: Legends - Epic Car Action Racing Game,Games,4.4,1834258,0.0,Android
Fun Race 3D,Games,4.2,1825464,0.0,Android
Galaxy Attack: Alien Shooter,Games,4.5,1825310,0.0,Android
Vova,Shopping,4.3,1818378,0.0,Android
Dream League Soccer 2021,Games,4.2,1813680,0.0,Android
RULES OF SURVIVAL,Games,3.9,1805333,0.0,Android
Paper.io 2,Games,4.0,1797248,0.0,Android
Music Player by Lark Player - for Music & Youtube,Music & Audio,4.7,1792549,0.0,Android
Matchington Mansion,Games,4.3,1791937,0.0,Android
Glow Hockey,Games,4.2,1783044,0.0,Android
Banco Bradesco,Finance,4.3,1775614,0.0,Android
Dumb Ways to Die 2: The Games,Games,4.3,1773282,0.0,Android
IRCTC Rail Connect,Travel & Local,4.1,1761692,0.0,Android
GT Racing 2: The Real Car Exp,Games,4.4,1757749,0.0,Android
Keepsafe Photo Vault: Hide Private Photos & Videos,Photography,4.4,1754534,0.0,Android
Hungry Shark World,Games,4.4,1750780,0.0,Android
World Soccer League,Games,4.2,1749323,0.0,Android
Slotomania™ Free Slots: Casino Slot Machine Games,Games,4.4,1739051,0.0,Android
"Google Play Books - Ebooks, Audiobooks, and Comics",Books & Reference,4.1,1738589,0.0,Android
Yandex Browser with Protect,Personalization,4.4,1738322,0.0,Android
Hearthstone,Games,3.7,1734197,0.0,Android
Talking Ben the Dog,Entertainment,4.3,1733462,0.0,Android
"CCleaner: Cache Cleaner, Phone Booster, Optimizer",Tools,4.7,1731768,0.0,Android
Worms Zone .io - Voracious Snake,Games,4.3,1726421,0.0,Android
Earn to Die 2,Games,4.3,1723855,0.0,Android
Words with Friends Classic: Word Puzzle Challenge,Games,4.2,1720001,0.0,Android
Clash of Lords 2: Guild Castle,Games,4.3,1709934,0.0,Android
FastVid: Video Downloader for Facebook,Tools,4.6,1709015,0.0,Android
Geometry Dash Meltdown,Games,4.5,1700289,0.0,Android
Disney Frozen Free Fall - Play Frozen Puzzle Games,Games,4.5,1698879,0.0,Android
Sygic GPS Navigation & Offline Maps,Maps & Navigation,4.6,1697615,0.0,Android
Castle Clash: Схватка Гильдий,Games,4.4,1696073,0.0,Android
Into the Dead,Games,4.5,1692378,0.0,Android
Stick War: Legacy,Games,4.5,1689707,0.0,Android
99 - Private Driver and Taxi,Maps & Navigation,4.3,1687848,0.0,Android
Mini World: Block Art,Games,4.3,1687713,0.0,Android
Microsoft PowerPoint: Slideshows and Presentations,Productivity,4.3,1680446,0.0,Android
Words of Wonders: Crossword to Connect Vocabulary,Games,4.5,1673345,0.0,Android
"9GAG: Funny gifs, pics, fresh memes & viral videos",Entertainment,4.6,1666183,0.0,Android
PayPal Mobile Cash: Send and Request Money Fast,Finance,4.3,1660461,0.0,Android
Facebook Business Suite,Business,3.9,1654442,0.0,Android
Star Wars™: Galaxy of Heroes,Games,4.1,1653836,0.0,Android
Chase Mobile,Finance,4.4,1648490,0.0,Android
Respawnables – Online PVP Battles,Games,4.2,1646678,0.0,Android
Mercado Pago,Finance,4.3,1644109,0.0,Android
Samsung Email,Productivity,4.5,1636239,0.0,Android
Head Soccer,Games,4.3,1627287,0.0,Android
Google TV (previously Play Movies & TV),Video Players & Editors,4.0,1626062,0.0,Android
Zombie Catchers 🧟 Hunt the Dead,Games,4.4,1622707,0.0,Android
Fishing Hook,Games,4.4,1622204,0.0,Android
"Groupon - Shop Deals, Discounts & Coupons",Shopping,4.6,1607348,0.0,Android
Real Basketball,Games,4.4,1605692,0.0,Android
WEBTOON,Comics,4.6,1603992,0.0,Android
"Muslim Pro - Prayer Times, Azan, Quran & Qibla",Lifestyle,4.2,1602580,0.0,Android
Football Strike - Multiplayer Soccer,Games,4.3,1599144,0.0,Android
Banco Itaú,Finance,4.2,1598903,0.0,Android
Blitz Brigade - Online FPS fun,Games,3.9,1598213,0.0,Android
Family Farm Seaside,Games,4.3,1595150,0.0,Android
Adobe Photoshop Express:Photo Editor Collage Maker,Photography,4.5,1591525,0.0,Android
Bus Simulator Indonesia,Games,4.4,1586963,0.0,Android
Candy Crush Jelly Saga,Games,4.5,1585420,0.0,Android
Blockman Go,Games,4.5,1583123,0.0,Android
"Amazon Shopping - Search, Find, Ship, and Save",Shopping,4.1,1582673,0.0,Android
윈드러너,Games,4.0,1582343,0.0,Android
Candy Crush Friends Saga,Games,4.6,1581158,0.0,Android
Azar,Communication,4.0,1579782,0.0,Android
Evernote - Notes Organizer & Daily Planner,Productivity,4.2,1575702,0.0,Android
BADLAND,Games,4.5,1574509,0.0,Android
Flo Health & Period tracker. My Ovulation Calendar,Health & Fitness,4.8,1571752,0.0,Android
LINE Camera - Photo editor,Photography,4.5,1567211,0.0,Android
Sudoku.com - Free Sudoku,Games,4.6,1565665,0.0,Android
Head Ball 2,Games,4.0,1554347,0.0,Android
AdVenture Capitalist,Games,4.5,1554078,0.0,Android
