Name,Rating,Rating Count,Price,Category,Platform
Matchington Mansion,4.0,208920,0.0,Games,iOS
Dictionary.com: English Words,4.0,207948,0.0,Reference,iOS
Merge Dragons!,4.5,207753,0.0,Games,iOS
Titanic: The Mystery Room Escape Adventure Game,4.5,207547,0.0,Games,iOS
Football Strike,5.0,207374,0.0,Games,iOS
BuzzFeed,4.5,207052,0.0,News,iOS
Chess ∙,3.5,207047,0.0,Games,iOS
Word Crossy - A crossword game,4.5,206940,0.0,Games,iOS
Alibaba.com B2B Trade App,4.5,206735,0.0,Business,iOS
STARZ,4.5,205642,0.0,Entertainment,iOS
myVEGAS Slots – Casino Slots,4.5,204984,0.0,Games,iOS
Snowball.io™,5.0,204763,0.0,Games,iOS
Evernote Scannable,5.0,203759,0.0,Productivity,iOS
Sky Guide,5.0,203490,2.99,Reference,iOS
Voice Recorder & Audio Editor,4.5,200625,0.0,Utilities,iOS
Words Story,5.0,200376,0.0,Games,iOS
Battery Magic: Battery Life Battery Stats Battery Charge & Saver all in one!,3.5,199285,0.0,Business,iOS
Best Fiends - Puzzle Adventure,5.0,198968,0.0,Games,iOS
Shipt: Same Day Delivery,5.0,197983,0.0,Food & Drink,iOS
ABCmouse.com,4.5,196559,0.0,Education,iOS
From Zero to Hero: Cityman,5.0,195479,0.0,Games,iOS
Deer Hunter Challenge,4.0,195334,0.0,Games,iOS
Live Wallpapers Now,4.5,194045,0.0,Lifestyle,iOS
Sally's Spa Lite,4.0,193822,0.0,Games,iOS
Action Bowling Classic,3.0,193563,0.0,Games,iOS
Choices: Stories You Play,4.5,192562,0.0,Games,iOS
Knock Balls!,4.5,192115,0.0,Games,iOS
Draw In™,4.5,191969,0.0,Games,iOS
Gods of Boom,4.5,191847,0.0,Games,iOS
CodyCross: Crossword Puzzles,4.5,191795,0.0,Games,iOS
Enterprise Rent-A-Car,5.0,191725,0.0,Travel,iOS
Trending Music,4.5,191650,0.0,Music,iOS
SlideShow Maker Photo to Video,4.0,191416,0.0,Photo & Video,iOS
Bumper.io,4.5,191130,0.0,Games,iOS
Sudoku (Free),3.5,190513,0.0,Games,iOS
Favor - Anything Delivered,5.0,189813,0.0,Food & Drink,iOS
Zelle,5.0,189700,0.0,Finance,iOS
Cookie Jam: Top Match 3 Game,4.5,188882,0.0,Games,iOS
Trulia Rentals,5.0,188412,0.0,Lifestyle,iOS
Realtor.com Real Estate Search,4.5,188240,0.0,Lifestyle,iOS
Kick the Buddy: Forever,4.5,188037,0.0,Games,iOS
FOX NOW: Watch TV & Sports,4.5,188014,0.0,Entertainment,iOS
Flip Dunk,4.5,187957,0.0,Games,iOS
Pocket God,4.0,187610,0.99,Entertainment,iOS
World Series of Poker - WSOP,4.5,186978,0.0,Games,iOS
Beer Pong Game,2.0,186724,0.0,Games,iOS
Glow Hockey 2L,3.5,186485,0.0,Games,iOS
Mahjong!!,4.5,185831,0.0,Games,iOS
USPS Mobile®,4.5,185312,0.0,Business,iOS
Calculator‘,4.5,185221,0.0,Utilities,iOS
Jackpot Magic Slots™ & Casino,4.5,185093,0.0,Games,iOS
Talking Tom Cat,4.0,184743,0.0,Entertainment,iOS
Best VPN Proxy Betternet,4.5,184582,0.0,Productivity,iOS
Sushi Bar Idle,5.0,184545,0.0,Games,iOS
Disney Emoji Blitz,4.5,184344,0.0,Games,iOS
Jigsaw Puzzles - Puzzle Games,4.5,184272,0.0,Games,iOS
Hello Stars,4.5,184108,0.0,Games,iOS
Fling! Lite,3.5,184041,0.0,Games,iOS
Deer Hunter Classic,4.5,183897,0.0,Games,iOS
Digit: Save Money Easily,4.5,182177,0.0,Finance,iOS
Santander Bank US,4.5,182077,0.0,Finance,iOS
NFL SUNDAY TICKET,4.5,181599,0.0,Entertainment,iOS
"DAZN: Live Boxing, MMA & MLB",4.5,181496,0.0,Sports,iOS
Fairway Solitaire - Card Game,4.5,180926,0.0,Games,iOS
Atomic Fart FREE,3.0,179513,0.0,Entertainment,iOS
Word Search Unlimited Free,3.0,179417,0.0,Games,iOS
Bible App by Olive Tree,4.5,179285,0.0,Reference,iOS
Keeper Password Manager,4.5,178986,0.0,Productivity,iOS
Blue Letter Bible,5.0,177788,0.0,Reference,iOS
MRSOOL | مرسول,4.5,177350,0.0,Business,iOS
Epic! - Kids’ Books and Videos,4.5,176107,0.0,Education,iOS
Resy,5.0,175918,0.0,Food & Drink,iOS
Crazy Kick!,4.5,175902,0.0,Games,iOS
Scanner for Me: Scan documents,4.5,175764,0.0,Business,iOS
Piano Tiles ™,4.5,175662,0.0,Games,iOS
Wheel of Fortune: Free Play,4.5,174883,0.0,Games,iOS
Golf Battle,4.5,174807,0.0,Games,iOS
Chess - Play & Learn,4.5,174448,0.0,Games,iOS
UNICORN 3D: Color by Number,4.5,174220,0.0,Games,iOS
Dots + Boxes,3.0,173136,0.0,Games,iOS
High School Story,4.5,172757,0.0,Games,iOS
Lumosity: Brain Training,4.5,172211,0.0,Education,iOS
World Cup Table Tennis™ Lite,3.5,172006,0.0,Games,iOS
MyDISH Account,4.5,171553,0.0,Utilities,iOS
South Park: Phone Destroyer™,5.0,171299,0.0,Games,iOS
TopBuzz News: Breaking & Local,4.5,170734,0.0,News,iOS
The Tribez: Build a Village,4.5,170702,0.0,Games,iOS
Square Point of Sale (POS),4.5,170583,0.0,Business,iOS
TRUTH or DARE!!! - FREE,3.0,170499,0.0,Entertainment,iOS
Paper.io,4.5,170298,0.0,Games,iOS
Arcade Bowling™ LITE,3.5,168732,0.0,Games,iOS
CBS Sports Fantasy,4.5,168682,0.0,Sports,iOS
Cube Runner,3.5,168556,0.0,Games,iOS
Galaxy Attack: Alien Shooter,4.5,168116,0.0,Games,iOS
